javanese,indonesian
Bawor,Bawor
Istana Heian,Istana Heian
"Dibangune itana iki kanggo gawe punjere pamrentahan kaya ing Republik Rakyat Cina ing abad ka 17, kanthi Daijo kan lan wolung mentri ing sangisore.","Tujuan utama dibangunnya istana ini untuk mewujudkan model sentralisasi pemerintahan yang diadopsi dari Cina pada abad ke-7, dengan ""Daijō-kan"" berikut Delapan Kementerian di bawahnya."
"Istana iki digawe dadi panggon kang pas kanggo omahe kaisar, lan dadi kantor kanggo mlakune pamrentahan lan acara kanegaraan liyane.","Istana dirancang sebagai tempat yang pantas untuk kediaman kaisar, sekaligus bangunan kantor untuk menjalankan urusan pemerintahan dan acara seremonial lainnya."
"Istana jero Dairi digunakake kkanggo omahe kaisar nganti abad ka 12, nanging bangunan kang digunakake kanggo upacara wis ora digunakake wiwit abad ka 9, amarga upacara kang biyasa dilakoni ora cocok karo udhang undhang.","Istana Dalam (""Dairi"") terus digunakan sebagai kediaman kaisar hingga abad ke-12, namun bangunan-bangunan lain yang dibuat untuk upacara agung sudah tidak dipakai lagi sejak abad ke-9."
"Wiwit tengah tengah Jaman Heian, istana iki wis tau kobongan lan kena musibah liya.","Sejak pertengahan zaman Heian, istana mengalami beberapa kali kebakaran dan musibah lain."
"Nalika taun 1227 istana iki kobong nganti entek, lan ora didandani meneh.","Pada akhirnya istana terbakar habis pada tahun 1227, dan tidak pernah dibangun kembali."
"Ngebung, Kalijambe, Sragen","Ngebung, Kalijambe, Sragen"
"Blang Pidie, Aceh Kidul kulon","Blangpidie, Aceh Barat Daya"
"Blangpidie iku sawijining kecamatan ing Kabupaten Aceh Kidul kulon, Provinsi Aceh, Indonesia.","Blangpidie adalah sebuah kecamatan di Kabupaten Aceh Barat Daya, Provinsi Aceh, Indonesia."
"Blang Pidie minangka ibukutha Kabupaten Aceh Kidul kulon. Kutha Blangpidie dumunung ing bagean kidul pesisir kulon Aceh, lan diliwati dalan gedhe sing ngubungake Banda Aceh   Medan, yakuwi sawise Meulaboh lan sadurunge Tapak Tuan.","Blang Pidie merupakan ibukota Kabupaten Aceh Barat Daya. Kota Blangpidie berada pada bagian selatan pesisir Barat Aceh, dan dilewati jalan raya yang menghubungkan Banda Aceh - Medan, yakni sesudah Meulaboh dan sebelum Tapak Tuan."
"Akeh wong sing salah ngenali kutha dagang iki karo Pidie, amarga jenenge sing ameh padha.","Banyak orang yang salah mengenali kota dagang ini sebagai Pidie, hal yang mungkin disebabkan oleh nama akhir yang sama dengan yang dimiliki oleh ""Pidie"" sendiri."
Myriapoda,Myriapoda
Myriapoda yaiku salah sawijine kelas saka filum Arthropoda.,"Myriapoda adalah kelas dari anggota hewan tak bertulang belakang yang termasuk dalam filum ""Arthropoda""."
Myriapoda nduwe sistem trakea kanggo respirasi.,"Myriapoda melakukan respirasinya menggunakan saluran trakea yang bermuara pada lubang-lubang kecil (""stigma""), letaknya pada dinding ruasruas tubuh."
Surat Fushshilat,Surah Fussilat
"Surat Fushshilat Arab: فصّلت, Sing dijelasake iku surat ka 41 jroning al Quran.","Surah Fussilat (Arab: فصّلت, ""Yang Dijelaskan"") adalah surah ke-41 dalam al-Qur'an."
Surat iki dumadi saka 54 ayat lan klebu golongan surat surat Makkiyah.,Surah ini terdiri atas 54 ayat dan termasuk golongan surah-surah Makkiyah.
Surat sing diturunake sawise Surat Al Mumin iki dijenengake Fushshilat Sing Dijelasake dijupuk saka tembung Fushshilat sing ana ing wiwitan surat iki. Referensi.,"Surah yang diturunkan sesudah Surah Al-Mu’min ini dinamai ""Fussilat"" (Yang Dijelaskan) diambil dari kata ""Fushshilat"" yang terdapat pada permulaan surah ini. Referensi."
