sundanese,indonesian
(52761) 1998 MN14,(52761) 1998 MN14
(52761) 1998 MN14 adolah sabuah asteroid.,(52761) 1998 MN14 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Amor, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Amor, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.224, samantaro magnitudo mutlaknyo adolah 17.8.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.224, sementara magnitudo mutlaknya adalah 17.8."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Pseudosuberites cava,Pseudosuberites cava
Pseudosuberites cava adolah spesies spons nan tagolong dalam kelas Demospongiae.,Pseudosuberites cava adalah spesies spons yang tergolong dalam kelas Demospongiae.
"Spesies ko juo marupokan bagian dari filum Porifera dan subregnum Parazoa. Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.","Spesies ini juga merupakan bagian dari kelas Demospongiae, filum Porifera, subregnum Parazoa, dan kingdom Animalia."
"Salain itu, Pseudosuberites cava dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Pseudosuberites cava juga dapat menyerap oksigen dari air melalui proses difusi."
Trochospongilla petrophila,Trochospongilla petrophila
Trochospongilla petrophila adolah spesies spons nan tagolong dalam kelas Demospongiae.,Trochospongilla petrophila adalah spesies spons yang tergolong dalam kelas Demospongiae.
"Spesies ko juo marupokan bagian dari filum Porifera dan subregnum Parazoa. Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.","Spesies ini juga merupakan bagian dari kelas Demospongiae, filum Porifera, subregnum Parazoa, dan kingdom Animalia."
"Salain itu, Trochospongilla petrophila dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Trochospongilla petrophila juga dapat menyerap oksigen dari air melalui proses difusi."
2006 BZ147,2006 BZ147
2006 BZ147 adolah sabuah asteroid.,2006 BZ147 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
