sundanese,indonesian
Républik Komi,Republik Komi
Républik Komi mangrupakeun salahsahiji Subjék Féderal Rusia.,Republik Komi merupakan sebuah nama Subyek Federal Rusia.
Ibu kotana nya éta Syktyvkar.,Ibu kotanya ialah Syktyvkar.
Wanci Usum Panas Éropa Tengah,Waktu Musim Panas Eropa Tengah
"Wanci Usum Panas Éropa Tengah (, disingket CEST) mangrupakeun salah sahiji ngaran ti wanci Usum Panas nu digunakeun di zona wanci UTC+2, 2 jam di payuneun Wanci Universal Kakoordinasi.","Waktu Musim Panas Eropa Tengah (, disingkat CEST) adalah salah satu nama dari waktu Musim Panas yang digunakan di zona waktu UTC+2, 2 jam di depan Waktu Universal Terkoordinasi."
Hal ieu digunakeun salaku wanci usum panas siang di loba nagara-nagara Éropa.,Hal ini digunakan sebagai waktu musim panas siang hari di banyak negara-negara Eropa.
"Dina usum tiis, Wanci Éropa Tengah (UTC+1) digunakeun.","Selama musim dingin, Waktu Eropa Tengah (UTC+1) digunakan."
Panganggoan.,Penggunaan.
"Nagara-nagara jeung wewengkon di handap ngagunakeun Wanci Usum Panas Éropa Tengah dina usum panas, antara 01:00 UTC dina poé Minggu panungtungna bulan Maret jeung 1:00 dina poé Minggu panungtungna bulan Oktober.","Negara-negara berikut dan wilayah menggunakan Waktu Musim Panas Eropa Tengah selama musim panas, antara 01:00 UTC pada hari Minggu terakhir bulan Maret dan 1:00 pada hari Minggu terakhir bulan Oktober."
CEST digunakeun ogé di taun 1993—1995 di Portugal jeung 1998—1999 di Lithuania.,CEST digunakan juga pada tahun 1993—1995 di Portugal dan 1998—1999 di Lituania.
Baktéri,Bakteri
Jeruk,Jeruk
Kabupatén Lebak,Kabupaten Lebak
Kabupatén Lebak nyaéta salasahiji kabupatén di Propinsi Banten.,"Kabupaten Lebak, adalah sebuah kabupaten di Provinsi Banten, Indonesia."
"Di kalereunnana babatesan jeung Kabupaten Sérang, di wetaneunanana babatesan jeung Kabupatén Bogor jeung Sukabumi anu kaasup Propinsi Jawa Barat, di kiduleuna babatesan jeung Samudra Indonésia, jeung di kuloneunnana babatesan jeung Kabupatén Pandeglang.","Kabupaten ini berbatasan dengan Kabupaten Serang dan Kabupaten Tangerang di utara, Kabupaten Bogor dan Kabupaten Sukabumi di timur, Samudra Hindia di selatan, serta Kabupaten Pandeglang di barat."
Ibukotana nyaéta Rangkasbitung.,Ibukotanya adalah Rangkasbitung.
Tōkaidō Shinkansen,Tōkaidō Shinkansen
